angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.11,"[820, 186, 296, 375]",0.0,0.12,0.0,0.38,0.31,0.08
0.11,"[821, 186, 294, 375]",0.0,0.12,0.0,0.38,0.31,0.08
0.1,"[820, 185, 296, 376]",0.0,0.13,0.0,0.31,0.36,0.1
0.1,"[820, 186, 296, 375]",0.0,0.14,0.0,0.32,0.34,0.1
0.1,"[820, 186, 296, 375]",0.0,0.14,0.0,0.32,0.35,0.09
0.1,"[820, 185, 297, 376]",0.0,0.14,0.0,0.35,0.32,0.08
0.1,"[820, 185, 297, 376]",0.0,0.15,0.0,0.35,0.32,0.08
0.1,"[820, 184, 296, 377]",0.0,0.11,0.0,0.32,0.4,0.06
0.11,"[820, 184, 296, 377]",0.0,0.11,0.0,0.32,0.4,0.06
0.11,"[820, 184, 296, 377]",0.0,0.11,0.0,0.32,0.4,0.06
0.12,"[820, 186, 295, 373]",0.0,0.16,0.0,0.23,0.44,0.05
0.12,"[820, 186, 295, 373]",0.0,0.16,0.0,0.23,0.44,0.05
0.09,"[843, 201, 278, 346]",0.0,0.09,0.0,0.48,0.33,0.01
0.11,"[843, 202, 278, 345]",0.0,0.09,0.0,0.46,0.33,0.01
0.11,"[843, 202, 278, 345]",0.0,0.09,0.0,0.46,0.33,0.01
0.12,"[843, 201, 279, 347]",0.0,0.1,0.0,0.45,0.32,0.02
0.12,"[843, 201, 278, 347]",0.0,0.09,0.0,0.44,0.33,0.02
0.12,"[843, 201, 279, 347]",0.0,0.11,0.0,0.43,0.32,0.02
0.12,"[843, 202, 279, 346]",0.0,0.09,0.0,0.43,0.34,0.02
0.12,"[843, 202, 279, 346]",0.0,0.09,0.0,0.43,0.34,0.02
0.15,"[821, 185, 293, 373]",0.0,0.16,0.0,0.15,0.51,0.03
0.15,"[821, 185, 293, 373]",0.0,0.16,0.0,0.15,0.51,0.03
0.19,"[820, 186, 294, 372]",0.0,0.17,0.0,0.15,0.45,0.05
0.19,"[820, 186, 294, 372]",0.0,0.17,0.0,0.15,0.45,0.05
0.19,"[820, 186, 294, 371]",0.0,0.16,0.0,0.16,0.45,0.04
0.15,"[821, 185, 294, 375]",0.0,0.15,0.0,0.18,0.49,0.03
0.19,"[821, 185, 294, 374]",0.0,0.13,0.0,0.16,0.48,0.05
0.18,"[821, 185, 294, 374]",0.0,0.13,0.0,0.21,0.41,0.07
0.18,"[821, 186, 294, 373]",0.0,0.13,0.0,0.21,0.41,0.07
0.09,"[842, 197, 281, 352]",0.0,0.07,0.0,0.47,0.35,0.01
0.19,"[821, 185, 294, 375]",0.0,0.1,0.0,0.25,0.43,0.03
0.19,"[821, 185, 294, 375]",0.0,0.1,0.0,0.25,0.43,0.03
0.18,"[821, 185, 294, 375]",0.0,0.09,0.0,0.26,0.43,0.03
0.12,"[822, 181, 300, 382]",0.0,0.1,0.0,0.37,0.39,0.02
0.12,"[822, 181, 300, 382]",0.0,0.1,0.0,0.37,0.39,0.02
0.13,"[823, 182, 299, 381]",0.0,0.1,0.0,0.34,0.39,0.05
0.13,"[823, 182, 299, 381]",0.0,0.1,0.0,0.34,0.38,0.05
0.14,"[824, 183, 298, 379]",0.0,0.1,0.0,0.39,0.32,0.05
0.15,"[824, 183, 297, 379]",0.0,0.12,0.0,0.33,0.36,0.04
0.14,"[824, 183, 298, 379]",0.0,0.11,0.0,0.39,0.32,0.05
0.08,"[848, 201, 276, 348]",0.0,0.08,0.0,0.41,0.41,0.01
0.11,"[825, 183, 297, 377]",0.0,0.11,0.0,0.29,0.45,0.03
0.08,"[847, 200, 277, 349]",0.0,0.1,0.0,0.4,0.4,0.02
0.08,"[847, 200, 277, 350]",0.0,0.11,0.0,0.39,0.41,0.02
0.08,"[847, 200, 277, 350]",0.0,0.11,0.0,0.39,0.41,0.02
0.09,"[847, 201, 278, 347]",0.0,0.11,0.0,0.37,0.43,0.01
0.08,"[847, 200, 278, 349]",0.0,0.1,0.0,0.38,0.42,0.01
0.1,"[847, 200, 279, 350]",0.0,0.1,0.0,0.33,0.46,0.01
0.1,"[847, 200, 279, 350]",0.0,0.1,0.0,0.33,0.45,0.01
0.1,"[847, 200, 279, 350]",0.0,0.1,0.0,0.33,0.45,0.01
0.16,"[845, 199, 280, 352]",0.0,0.09,0.0,0.27,0.47,0.01
0.17,"[844, 199, 281, 353]",0.0,0.1,0.0,0.25,0.46,0.01
0.16,"[841, 197, 283, 358]",0.0,0.09,0.0,0.25,0.48,0.02
0.16,"[841, 197, 283, 358]",0.0,0.09,0.0,0.26,0.48,0.02
0.16,"[841, 197, 283, 358]",0.0,0.09,0.0,0.26,0.48,0.02
0.14,"[841, 197, 284, 359]",0.0,0.08,0.0,0.27,0.5,0.01
0.14,"[827, 184, 294, 374]",0.0,0.11,0.0,0.2,0.54,0.01
0.14,"[827, 185, 295, 373]",0.0,0.15,0.0,0.21,0.48,0.02
0.14,"[827, 185, 295, 373]",0.0,0.14,0.0,0.21,0.49,0.02
